ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,Hardness_Category,Contamination_Risk,Water_Quality_Score,Water_Safety_Index,Water_Safety_Level
0.5026251502738249,0.5711390082822001,20791.318980747023,7.300211873184757,0.6803852067559715,0.6694394775245863,0.3134016505013296,0.6997531312286739,2.9631353806316407,0,Hard,0.3360804375092993,0.34138809641142726,69.85911319097433,Moderate
0.26543429109907074,0.2974004342343784,18630.057857970347,6.635245883862,0.5797039269340089,0.7194110818538585,0.497318510205259,0.45099930460740245,4.500656274942408,0,Moderate,0.3005478732758637,0.303760299744623,78.03346510352851,Safe
0.5785088706641713,0.6413108084150346,19909.541732292397,9.275883602694089,0.5797039269340089,0.4146520642670707,0.5620167405958227,0.5328657048544051,3.0559337496641685,0,Hard,0.3216275757457811,0.32314612607381576,68.61572332860302,Moderate
0.5940547060153343,0.6055358664220307,22018.41744077529,8.05933237743854,0.6473474415473474,0.3178804651334762,0.6220890611300116,0.8080647268832251,4.628770536837084,0,Hard,0.35628317692563494,0.35691026411201304,86.79710389542915,Safe
0.6494445325922118,0.4848508815494292,17978.98633892625,6.546599974207941,0.5145453712144609,0.3793367078068793,0.35855476794813795,0.25360608076637353,4.075075425430034,0,Hard,0.28996882560527754,0.2890870204676608,72.29804387507073,Safe
0.3988633313182921,0.5110098362288946,28748.68773904612,7.54486878877965,0.5615373753170179,0.1730919426231725,0.23753772567635112,0.43955040354687147,2.5597082275565217,0,Hard,0.46669172002299997,0.4638907515748443,51.672764792378544,Moderate
0.7302758688949124,0.7277677091469462,28749.716543528237,7.5134084658313025,0.7518191989805305,0.17865925610910732,0.44404962902375045,0.6803845156984599,2.672988736934779,0,Hard,0.4668120437362691,0.46700474390185853,66.40412477290496,Moderate
0.6168463370357667,0.5655932075815422,13672.091763901635,4.563008685599703,0.4951551092753031,0.5125808282494884,0.3894182643182089,0.5034828979160257,4.401424715445482,0,Hard,0.21925055224071333,0.22073760210572732,80.49214942464444,Safe
0.5026251502738249,0.2595526133883169,14285.583854224516,7.804173553073094,0.39668973084688186,0.36353692213506406,0.40253061182597366,0.4315267135655128,3.5950171809576155,0,Moderate,0.22927505225224118,0.22602623730804602,63.84559959197635,Moderate
0.7985917479086853,0.6521751419626778,25484.50849098786,9.077200016914391,0.7813002665972877,0.6686994825422143,0.6025979467925293,0.5779445492708146,4.370561936655497,0,Hard,0.41325035846781893,0.4198659240032878,91.85516686955157,Safe
0.5257600075598756,0.4283359591846286,32452.614409143884,7.550700906704114,0.5613839527180129,0.42650325140240203,0.5129046144840278,0.6328147820439778,3.662291782852457,0,Hard,0.527562401993554,0.5281713727880337,72.26125979726521,Safe
0.5696086892088479,0.6212051872693675,18767.65668181348,8.110384501123875,0.5797039269340089,0.319334869966339,0.47225079301123407,0.6145276823323617,4.011718108339787,0,Hard,0.30289226447853185,0.3029139052012459,76.3282103664954,Safe
0.5085588845903252,0.39635895615539135,18730.813653342717,3.60603609050572,0.4355985872976041,0.2906858375102547,0.5260358585756973,0.6389866977411888,3.445756223321899,0,Hard,0.30225934652171477,0.29943108713796135,66.4160340624265,Moderate
0.5026251502738249,0.3726728501194674,27331.36196192776,6.838223470687509,0.4840936011437526,0.34672555201517735,0.6578853326142575,0.6147230738423707,4.413974182974902,0,Hard,0.4434833089651536,0.4419443244600705,78.17375094128253,Safe
0.535445157712383,0.5727876839305645,28388.00488673697,5.072557773840631,0.5797039269340089,0.4601862700577368,0.42254065514270234,0.5643443449475456,4.777382337225378,0,Hard,0.4608480451772982,0.4627201463039587,84.1020608983538,Safe
0.4533765543242369,0.5052771957857903,41065.23476453935,9.629596276480584,0.6689408788512972,0.5862627093705883,0.35784602266434573,0.6030537983047312,4.376348290691898,0,Hard,0.6689600331577906,0.6732456153086331,80.709250818403,Safe
0.503698985715489,0.59347897675865,30980.600786788866,10.094796011661426,0.5797039269340089,0.23372465009385635,0.6972039019433891,0.4536159058736132,4.268428857506186,0,Hard,0.5033970320535984,0.5023751693635706,76.98567022729866,Safe
